protocol,action_type,kick_time,kick_block_number,kick_hash,debt_auction_id,kick_lot,evt_index,dent_time,dent_block_number,dent_hash,dent_lot,deal_time,deal_block_number,deal_hash
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/20 04:02:10,9.706256e+06,bee8ac478a43243ddcb7f9cfeaed0b8a9e79785e5b22086073832fc949882e07,202.26537216828478,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:40:24,9.702964e+06,5240f107e0f618106863b57884e1dd08059c2efc8fc5ddeea131d8dead9fa6b8,10,250,11,2020/03/20 05:25:23,9.706653e+06,6436faf57eb35c4187a13543fe6407b76b9797bee32811e118edae27f030777c,188.67924528301887,2020/03/20 11:27:43,9.708296e+06,db25e9d7aa851b705384c86701dfcdb3c6fcfa38c68735e6f48a962f0ab3a35e
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/19 15:48:26,9.703001e+06,e0b00b09e711bc2eda45e4a4b5812ea352ef11e14c5ebdccfae50c3e43ddc6c0,242.50000000036374,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/19 17:29:31,9.703442e+06,912e7a3b2c255a1ed75a0c1fdb0cf6a21d8610db450ffd775bb7d79ba8b51254,235.43689320423664,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/19 18:08:35,9.703619e+06,7fe98a866792987d2b834603177df4b06e9f17152a805fb93628f5982c2b7610,222.22222222222223,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/19 23:11:25,9.704978e+06,07bd5c51535a04371f73230de0f5b0ecbce3f2c53d2a5b23276befcc4d448daa,215.747572816,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/19 23:53:22,9.705192e+06,47cceac33900d7b016750337e7efa581e3f4d4a7b3529a58a1388688195362cd,208.33333333333334,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/20 04:08:05,9.706275e+06,333e17eb431d0b8f29a61f739d9838bad7d420b4a3cb281ce838b248965f4612,202.26537216828478,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:48:11,9.702999e+06,913fe7c49b822d01a72ba2ec43e8c69924097ce1ebb30345fc45b1ce7b320ac9,11,250,35,2020/03/20 05:25:34,9.706654e+06,7609a4c8d1e762b3449a085e8068ffaff7fe9e3e98ad3f4ae9071907b521f144,188.67924528301887,2020/03/20 11:27:43,9.708296e+06,e1dd139e738660bd3f16f456ec7b3789d1f96a32b6a8f88f4d9e73c0bff84a88
maker,debt_auction,2020/03/19 15:57:58,9.703046e+06,f3eb731dc7f8b15c4a867117196cf932b2d3a75a89411382768a0a748c9e57f4,12,250,27,2020/03/19 15:57:58,9.703046e+06,1b94a72a2146e43d7ef1e773e1136d61005ac4924cb16e4349505fc02f9695a7,242,2020/03/20 11:27:43,9.708296e+06,fa1eda5a3e523b17aeffbca72baf1014a690608fe5eb6c39a4c2d40cd227dca5
